date,price
datetime,float
T,
1978-10-30,18.5
1978-10-31,20
1978-11-14,20.37504
1978-11-15,20.75008
1979-07-02,21
1978-10-27,21
1978-10-26,21
1979-06-29,21.24992
1979-07-03,21.5
1978-11-13,21.5
1978-11-08,21.5
1979-07-24,21.62496
1979-07-23,21.62496
1979-07-20,21.75008
1979-06-28,21.75008
1978-11-16,21.75008
1978-11-09,21.75008
1979-07-06,21.87504
1979-06-27,22.12496
1978-11-29,22.12496
1979-06-07,22.24992
1979-06-06,22.24992
1978-11-07,22.24992
1979-07-05,22.37504
1979-06-26,22.5
1979-07-09,22.75008
1978-11-10,22.75008
1979-07-31,22.87504
1979-07-30,22.87504
1979-07-26,22.87504
1979-07-27,23
1979-07-25,23
1979-07-19,23
1979-07-17,23
1979-07-10,23
1979-06-11,23
1979-06-05,23
1979-02-07,23
1978-11-28,23
1978-11-01,23
1979-07-18,23.24992
1979-06-22,23.24992
1979-06-04,23.24992
1979-05-16,23.24992
1979-05-07,23.24992
1978-11-30,23.24992
1978-11-27,23.24992
1978-11-22,23.24992
1978-11-21,23.24992
1979-07-16,23.37504
1979-07-11,23.37504
1979-06-25,23.37504
1979-05-21,23.37504
1979-07-12,23.5
1979-06-21,23.5
1979-06-08,23.5
1979-06-01,23.5
1979-05-31,23.5
1979-05-30,23.5
1979-05-14,23.5
1979-02-27,23.5
1979-02-08,23.5
1978-11-17,23.5
1978-11-02,23.5
1979-06-18,23.62496
1979-05-22,23.62496
1979-05-15,23.62496
1979-05-10,23.62496
1979-02-05,23.62496
1978-11-24,23.62496
1978-11-20,23.62496
1978-11-06,23.62496
1979-07-13,23.87504
1979-05-17,23.87504
1979-06-20,24
1979-06-19,24
1979-06-15,24
1979-05-18,24
1979-05-11,24
1979-05-08,24
1979-02-06,24
1978-12-01,24
1978-11-03,24
1978-10-25,24
1979-08-01,24.37504
1979-06-14,24.37504
1979-06-13,24.37504
1979-06-12,24.37504
1979-05-23,24.37504
1979-05-04,24.37504
1979-03-01,24.37504
1979-02-28,24.37504
1979-02-26,24.37504
1979-05-24,24.5
1979-02-09,24.5
1978-12-21,24.5
1978-12-18,24.5
1978-10-24,24.5
1979-05-09,24.62496
1979-08-06,24.75008
1979-08-03,24.75008
1979-05-29,24.75008
1979-03-09,24.75008
1979-02-12,24.75008
1978-12-19,24.75008
1979-08-02,25
1979-03-12,25
1979-03-06,25
1979-02-02,25
1979-01-26,25
1978-12-20,25
1978-10-23,25
1979-08-09,25.12496
1979-03-02,25.12496
1979-01-31,25.12496
1979-03-13,25.24992
1979-02-01,25.24992
1979-01-29,25.24992
1978-12-28,25.24992
1978-12-27,25.24992
1979-08-08,25.5
1979-08-07,25.5
1979-05-03,25.5
1979-04-30,25.5
1979-04-25,25.5
1979-04-23,25.5
1979-04-20,25.5
1979-04-19,25.5
1979-04-18,25.5
1979-03-14,25.5
1979-03-08,25.5
1979-02-22,25.5
1979-01-30,25.5
1978-12-22,25.5
1979-08-10,25.62496
1979-05-25,25.62496
1979-05-02,25.62496
1979-03-05,25.62496
1979-02-21,25.62496
1979-02-14,25.62496
1979-01-02,25.62496
1979-05-01,25.75008
1979-03-07,25.75008
1979-02-23,25.75008
1978-12-04,25.75008
1979-08-14,25.87504
1979-04-27,25.87504
1979-04-24,25.87504
1979-02-13,25.87504
1979-09-05,26.12496
1979-08-13,26.12496
1979-04-26,26.12496
1979-04-17,26.12496
1979-04-16,26.12496
1979-03-15,26.12496
1979-02-20,26.12496
1979-02-16,26.12496
1979-01-25,26.12496
1978-12-15,26.12496
1978-12-13,26.12496
1978-12-08,26.12496
1978-10-20,26.12496
1979-02-15,26.24992
1978-12-29,26.24992
1978-12-12,26.24992
1978-12-07,26.24992
1979-09-06,26.5
1979-04-11,26.5
1979-01-09,26.5
1978-12-26,26.5
1978-12-14,26.5
1979-04-02,26.75008
1979-01-24,26.75008
1978-12-11,26.75008
1978-12-05,26.75008
1979-03-20,26.87504
1979-04-12,27
1979-03-28,27
1979-01-22,27
1979-01-16,27
1979-01-03,27
1979-03-30,27.24992
1979-03-29,27.24992
1979-03-19,27.24992
1979-03-16,27.24992
1979-01-23,27.24992
1979-01-18,27.24992
1979-01-10,27.24992
1978-12-06,27.24992
1979-03-22,27.37504
1979-08-16,27.5
