Date,10 yr Tresury yield%
2015-11-02,2.342
2015-10-01,2.151
2015-09-01,2.06
2015-08-03,2.2
2015-07-01,2.205
2015-06-01,2.335
2015-05-01,2.095
2015-04-01,2.046
2015-03-02,1.934
2015-02-02,2.002
2015-01-02,1.675
2014-12-01,2.17
2014-11-03,2.194
2014-10-01,2.335
2014-09-02,2.508
2014-08-01,2.343
2014-07-01,2.556
2014-06-02,2.516
2014-05-01,2.457
2014-04-01,2.648
2014-03-03,2.723
2014-02-03,2.658
2014-01-02,2.668
2013-12-02,3.026
2013-11-01,2.741
2013-10-01,2.542
2013-09-03,2.615
2013-08-01,2.749
2013-07-01,2.593
2013-06-03,2.478
2013-05-01,2.164
2013-04-01,1.675
2013-03-01,1.852
2013-02-01,1.888
2013-01-02,1.985
2012-12-03,1.756
2012-11-01,1.606
2012-10-01,1.686
2012-09-04,1.637
2012-08-01,1.562
2012-07-02,1.492
2012-06-01,1.659
2012-05-01,1.581
2012-04-02,1.915
2012-03-01,2.216
2012-02-01,1.977
2012-01-03,1.799
2011-12-01,1.871
2011-11-01,2.068
2011-10-03,2.175
2011-09-01,1.924
2011-08-01,2.218
2011-07-01,2.805
2011-06-01,3.158
2011-05-02,3.05
2011-04-01,3.296
2011-03-01,3.454
2011-02-01,3.414
2011-01-03,3.378
2010-12-01,3.305
2010-11-01,2.797
2010-10-01,2.612
2010-09-01,2.517
2010-08-02,2.477
2010-07-01,2.907
2010-06-01,2.951
2010-05-03,3.301
2010-04-01,3.663
2010-03-01,3.833
2010-02-01,3.595
2010-01-04,3.609
2009-12-01,3.843
2009-11-02,3.201
2009-10-01,3.392
2009-09-01,3.307
2009-08-03,3.401
2009-07-01,3.501
2009-06-01,3.523
2009-05-01,3.465
2009-04-01,3.124
2009-03-02,2.685
2009-02-02,3.041
2009-01-02,2.844
2008-12-01,2.244
2008-11-03,2.957
2008-10-01,3.97
2008-09-02,3.827
2008-08-01,3.813
2008-07-01,3.979
2008-06-02,3.979
2008-05-01,4.046
2008-04-01,3.759
2008-03-03,3.432
2008-02-01,3.534
2008-01-02,3.639
2007-12-03,4.035
2007-11-01,3.972
2007-10-01,4.475
2007-09-04,4.579
2007-08-01,4.537
2007-07-02,4.771
2007-06-01,5.033
2007-05-01,4.89
2007-04-02,4.63
2007-03-01,4.648
2007-02-01,4.55
2007-01-03,4.826
2006-12-01,4.71
2006-11-01,4.458
2006-10-02,4.606
2006-09-01,4.633
2006-08-01,4.732
2006-07-03,4.988
2006-06-01,5.138
2006-05-01,5.113
2006-04-03,5.069
2006-03-01,4.853
2006-02-01,4.547
